source_index,source_field,non_null_count,non_null_rate,goal1_action,goal1_standard_field,sag_v1_target,data_class,notes
24,special_type,27,0.00002730,retain_standardize,special_type,document.metadata.special_type,internal,
25,case_accord_type_one_name,985681,0.99681039,retain_standardize,classification_l1,document.metadata.classification.level1,internal,
26,case_accord_type_two_name,985683,0.99681241,retain_standardize,classification_l2,document.metadata.classification.level2,internal,
27,case_accord_type_three_name,985682,0.99681140,retain_standardize,classification_l3,document.metadata.classification.level3,internal,
28,case_accord_type_four_name,1415,0.00143098,retain_standardize,classification_l4,document.metadata.classification.level4,internal,
29,case_accord_type_five_name,3,0.00000303,retain_standardize,classification_l5,document.metadata.classification.level5,internal,
30,case_accord_ext,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
31,order_status,988835,1.00000000,retain_standardize,order_status,document.metadata.order_status,internal,
32,first_order_status,323118,0.32676635,retain_standardize,first_order_status,document.metadata.first_order_status,internal,
33,secord_order_status,323118,0.32676635,retain_standardize,second_order_status,document.metadata.second_order_status,internal,
34,atomic_order_status,323118,0.32676635,retain_standardize,atomic_order_status,document.metadata.atomic_order_status,internal,
35,order_invalid_type,3298,0.00333524,retain_standardize,invalid_type,document.metadata.invalid_type,internal,
36,call_time,968250,0.97918257,retain_standardize,call_time,document.metadata.call_time + occurrence.call_time + Event时间回退,internal,
37,plan_finish_time,121329,0.12269893,retain_standardize,plan_finish_time,document.metadata.plan_finish_time,internal,
38,case_complete_time,987364,0.99851239,retain_standardize,case_complete_time,document.metadata.case_complete_time,internal,
39,erge_revoke_plug,40173,0.04062660,review_mapping,,,internal,需复核字段语义或已由另一标准映射覆盖
40,case_solve,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
41,contact_timely,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
42,order_extension,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
43,order_handle_way,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
44,knowledge_quote,603635,0.61045068,retain_standardize,knowledge_references,document.metadata.knowledge_references,internal,
45,leader_indicate,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
46,supervise_type,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
47,tenant_id,988835,1.00000000,retain_standardize,tenant_id,document.metadata.tenant_id,internal,
48,creator_id,988835,1.00000000,drop_operational_identifier,,,internal_identifier,操作人员/用户标识，V1无检索用途
49,create_by,988835,1.00000000,drop_operational_identifier,,,internal_identifier,操作人员/用户标识，V1无检索用途
50,create_date,988835,1.00000000,retain_standardize,create_date,document.metadata.source_create_date,internal,
51,updator_id,281752,0.28493328,drop_operational_identifier,,,internal_identifier,操作人员/用户标识，V1无检索用途
52,update_date,988835,1.00000000,retain_standardize,update_date,document.metadata.source_update_date,internal,
53,update_by,988835,1.00000000,drop_operational_identifier,,,internal_identifier,操作人员/用户标识，V1无检索用途
54,remark,1291,0.00130558,retain_standardize,remark,document.metadata.remark + HANDLING_ACTION/OUTCOME抽取源,internal,
55,delete_flag,988835,1.00000000,retain_standardize,deleted_flag,document.metadata.deleted_flag + SAG资格规则,internal,
56,attachment_ids,23138,0.02339925,defer_attachment_pipeline,,,restricted,附件/录音需独立授权、脱敏和解析流程
57,order_source_detail,988831,0.99999595,retain_standardize,order_source_detail,document.metadata.order_source_detail,internal,
58,order_sound_record_id,918522,0.92889309,defer_attachment_pipeline,,,restricted,附件/录音需独立授权、脱敏和解析流程
59,tripartite_call_records,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
60,plan_sign_time,425759,0.43056627,retain_standardize,plan_sign_time,document.metadata.plan_sign_time,internal,
61,notice_org_ids,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
62,area_code,988835,1.00000000,retain_standardize,area_code,document.metadata.region.area_code,internal,
63,is_accuracy,304452,0.30788959,retain_standardize,dispatch_accuracy,document.metadata.dispatch_accuracy,internal,
64,order_user_id,41325,0.04179160,drop_operational_identifier,,,internal_identifier,操作人员/用户标识，V1无检索用途
65,title,0,0.00000000,retain_standardize,title,document.title,internal,
66,belong_platform,988824,0.99998888,retain_standardize,source_platform,document.metadata.source_platform,internal,
67,return_visit_reason,60099,0.06077758,retain_standardize,return_visit_reason,document.metadata.return_visit_reason + FOLLOW_UP/OUTCOME抽取源,internal,
68,strcalledno,0,0.00000000,hmac_then_drop,,restricted.contact_token,direct_pii,被叫号码不得进入模型或SAG交换包
69,judgment_flag,4871,0.00492600,review_mapping,,,internal,需复核字段语义或已由另一标准映射覆盖
70,thrid_order_id,13,0.00001315,drop_auxiliary,,,internal,流程辅助字段；不进入SAG V1主路径
71,activeDeptIds,116571,0.11788721,retain_standardize,active_department_ids,document.metadata.active_department_ids,internal,
72,backCount,119035,0.12037903,retain_standardize,back_count,document.metadata.back_count,internal,
73,concludeDeptId,111978,0.11324235,retain_standardize,concluding_department_id,document.metadata.concluding_department_id,internal,
74,createNo,249496,0.25231308,drop_operational_identifier,,,internal_identifier,操作人员/用户标识，V1无检索用途
75,callEndTime,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
76,callTotalTime,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
77,deptName,304966,0.30840939,retain_standardize,department_name,document.metadata.department_name + GOVERNMENT_DEPARTMENT候选,internal,
78,deptType,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
79,distributeType,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
80,existQuotoInfo,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
81,fileExist,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
82,firstVistSatisfied,0,0.00000000,retain_standardize,first_visit_satisfied,document.metadata.first_visit_satisfied,internal,
83,isOverTime,7501,0.00758569,retain_standardize,is_over_time,document.metadata.is_over_time,internal,
84,isSignOverTime,48849,0.04940056,retain_standardize,is_sign_over_time,document.metadata.is_sign_over_time,internal,
85,lockStatus,120490,0.12185046,drop_auxiliary,,,internal,流程辅助字段；不进入SAG V1主路径
86,orderHandleWay,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
87,orderHandler,304966,0.30840939,drop_operational_identifier,,,internal_identifier,操作人员/用户标识，V1无检索用途
88,orderLabelDeptList,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
89,orgId,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
90,orgName,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
91,resultSatisfied,54560,0.05517604,retain_standardize,result_satisfied,document.metadata.result_satisfied,internal,
92,returnReason,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
93,visitCount,55935,0.05656657,retain_standardize,visit_count,document.metadata.visit_count,internal,
94,customerName,304632,0.30807162,drop,,,direct_pii,自然人姓名不得进入模型或SAG交换包
95,customerSex,299664,0.30304753,drop_operational_identifier,,,internal_identifier,操作人员/用户标识，V1无检索用途
96,orderUserPhone2,74,0.00007484,hmac_then_drop,,restricted.contact_token,direct_pii,联系电话仅生成受限HMAC令牌；不得进入模型或SAG交换包
97,recordId,282190,0.28537623,drop_operational_identifier,,,internal_identifier,操作人员/用户标识，V1无检索用途
98,change_time,988835,1.00000000,drop_auxiliary,,,internal,流程辅助字段；不进入SAG V1主路径
99,visitResult,36679,0.03709314,retain_standardize,visit_result,document.metadata.visit_result,internal,
100,isSupervise,1,0.00000101,drop_auxiliary,,,internal,流程辅助字段；不进入SAG V1主路径
101,firstVisitSatisfied,54815,0.05543392,retain_standardize,first_visit_satisfied,document.metadata.first_visit_satisfied,internal,
102,orderUserName,0,0.00000000,drop,,,direct_pii,自然人姓名不得进入模型或SAG交换包
103,orderUserSex,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
104,caseCompleTime,0,0.00000000,retain_standardize,case_complete_time,document.metadata.case_complete_time,internal,
105,processInstanceId,304322,0.30775812,retain_standardize,process_instance_id,document.process_instance_id,internal,
106,dispatchOrderId,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
107,toAreaCode,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
108,toTenantId,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
109,tripartiteCallRecordInfo,304966,0.30840939,defer_attachment_pipeline,,,restricted,附件/录音需独立授权、脱敏和解析流程
110,visitAdvContent,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
111,recognizeFlag,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
112,order_finish_time,876231,0.88612458,retain_standardize,order_finish_time,document.metadata.order_finish_time,internal,
113,appeal_status,947,0.00095769,retain_standardize,appeal_status,document.metadata.appeal_status,internal,
114,appeal_feedback_date,179,0.00018102,retain_standardize,appeal_feedback_date,document.metadata.appeal_feedback_date,internal,
115,appeal_result_opinions,98,0.00009911,retain_standardize,appeal_result_opinions,document.metadata.appeal_result_opinions + OUTCOME抽取源,internal,
116,form_type,317431,0.32101513,retain_standardize,form_type,document.metadata.form_type + event_type弱监督,internal,
117,custom_form_data_str,1731,0.00175054,defer_semantic_parse,,,potentially_sensitive,结构不稳定且可能含PII，后续专项解析
118,appeal_dept,671,0.00067858,retain_standardize,appeal_department_id,document.metadata.appeal_department_id,internal,
119,dispatch_flag,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
120,is_dispatch_accurate,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
121,first_level_affiliation,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
122,second_level_affiliation,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
123,third_level_affiliation,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
124,fourth_level_affiliation,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
125,fifth_level_affiliation,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
126,case_accord_code,0,0.00000000,retain_standardize,case_accord_code,document.metadata.classification.code,internal,
127,sixth_level_affiliation,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
128,seventh_level_affiliation,0,0.00000000,drop_empty,,,none,全量为空；保留字段目录，不进入V1
